,timestamp,open,high,low,close,volume
13466,2025.01.15 10:45:00,1.02978,1.03,1.02944,1.02966,1035
13467,2025.01.15 11:00:00,1.02966,1.03069,1.02962,1.03014,1322
13468,2025.01.15 11:15:00,1.03014,1.0307,1.03002,1.03053,1360
13469,2025.01.15 11:30:00,1.03054,1.0313,1.03053,1.0311,1278
13470,2025.01.15 11:45:00,1.0311,1.03131,1.03081,1.03098,1331
13471,2025.01.15 12:00:00,1.03098,1.03141,1.03083,1.03103,1071
13472,2025.01.15 12:15:00,1.03103,1.03113,1.03049,1.0306,1131
13473,2025.01.15 12:30:00,1.0306,1.03063,1.03009,1.03039,906
13474,2025.01.15 12:45:00,1.03039,1.03095,1.03038,1.03075,909
13475,2025.01.15 13:00:00,1.03075,1.03122,1.03065,1.03121,887
13476,2025.01.15 13:15:00,1.03121,1.03122,1.03054,1.03082,928
13477,2025.01.15 13:30:00,1.03082,1.03084,1.03005,1.03021,1076
13478,2025.01.15 13:45:00,1.03021,1.03039,1.02997,1.03013,1107
13479,2025.01.15 14:00:00,1.03013,1.03065,1.03004,1.03048,1255
13480,2025.01.15 14:15:00,1.03048,1.03059,1.0302,1.03031,1117
13481,2025.01.15 14:30:00,1.03031,1.03054,1.03012,1.0302,1106
13482,2025.01.15 14:45:00,1.0302,1.03028,1.02936,1.03,1407
13483,2025.01.15 15:00:00,1.03,1.03011,1.02963,1.0297,1422
13484,2025.01.15 15:15:00,1.0297,1.03049,1.02967,1.02989,1575
13485,2025.01.15 15:30:00,1.02989,1.03546,1.02978,1.03292,5505
13486,2025.01.15 15:45:00,1.03292,1.03505,1.03274,1.03445,4061
13487,2025.01.15 16:00:00,1.03445,1.03457,1.03285,1.03341,3129
13488,2025.01.15 16:15:00,1.03341,1.03442,1.03294,1.03408,2929
13489,2025.01.15 16:30:00,1.03408,1.03452,1.03286,1.03335,2778
13490,2025.01.15 16:45:00,1.03335,1.03388,1.03252,1.03275,3270
13491,2025.01.15 17:00:00,1.03275,1.03275,1.03101,1.03232,2629
13492,2025.01.15 17:15:00,1.03232,1.03281,1.03178,1.03263,2319
